Fruits_Vegetables,Meat_Fish,Dairy_Products,Grains_Pastries,Sweets_Snacks,ID
16,5,14,12,7,1
13,9,13,14,3,2
17,7,13,16,5,3
14,2,5,18,4,4
16,4,13,17,5,5
19,9,11,14,7,6
12,2,13,12,3,7
16,9,12,16,3,8
17,5,5,13,6,9
14,2,12,18,4,10
13,4,12,18,2,11
17,7,7,17,2,12
17,8,5,18,5,13
12,3,12,14,6,14
15,1,7,12,1,15
14,4,7,18,5,16
11,2,5,18,6,17
17,8,9,13,4,18
15,4,14,13,4,19
11,2,11,15,4,20
14,6,14,16,4,21
10,6,13,14,4,22
19,4,11,18,6,23
15,6,13,19,6,24
18,2,12,18,3,25
10,2,6,12,2,26
19,4,5,15,7,27
12,8,11,16,4,28
16,7,11,19,1,29
13,9,12,15,7,30
18,8,9,17,6,31
12,5,7,16,1,32
14,2,12,18,1,33
12,5,10,18,1,34
16,8,7,16,3,35
9,15,8,3,10,36
4,18,15,9,14,37
9,14,14,3,15,38
3,19,9,9,12,39
7,14,15,2,18,40
6,12,8,2,14,41
8,18,16,2,17,42
9,17,16,6,10,43
5,19,9,3,14,44
1,16,14,9,12,45
3,15,17,4,10,46
8,13,10,1,13,47
6,17,14,4,14,48
8,17,17,1,16,49
9,14,16,5,10,50
4,18,11,4,12,51
1,19,8,8,11,52
1,19,9,8,18,53
4,12,8,7,19,54
7,12,12,3,15,55
2,15,12,1,19,56
3,14,14,1,12,57
1,17,16,3,17,58
5,19,16,6,17,59
1,16,10,7,11,60
8,14,10,6,15,61
1,15,10,6,16,62
1,15,11,6,11,63
2,14,15,3,19,64
2,15,13,6,11,65
6,14,15,8,19,66
7,13,8,2,10,67
5,14,15,5,17,68
1,18,11,1,10,69
1,14,8,1,18,70
3,15,15,5,15,71
2,19,11,3,16,72
5,18,13,4,19,73
6,15,15,3,16,74
7,12,11,1,19,75
7,8,19,10,5,76
6,14,14,13,12,77
13,10,19,9,9,78
12,10,14,5,8,79
14,9,16,8,12,80
11,5,18,9,11,81
13,12,14,14,6,82
8,9,10,14,5,83
8,9,19,9,8,84
5,11,19,11,12,85
12,8,10,8,6,86
7,10,11,5,7,87
11,8,15,9,5,88
6,7,18,11,5,89
6,11,17,14,7,90
11,12,14,14,9,91
10,8,10,10,7,92
7,6,16,9,5,93
13,14,14,8,5,94
14,7,15,6,12,95
10,5,16,8,14,96
14,12,12,14,6,97
14,7,19,14,7,98
10,14,12,7,6,99
5,11,14,14,7,100
